modules,control,stress
MElightpink2,2.94E-05,2.94E-05
MEantiquewhite,0.569064231,0.569064231
MEblue3,0.494884624,0.494884624
MEbisque4,1.05E-42,1.05E-42
MEmediumorchid4,8.90E-20,8.90E-20
MEskyblue,8.34E-17,8.34E-17
MEaliceblue,5.96E-14,5.96E-14
MEmagenta3,0.995167985,0.995167985
MEmagenta4,0.861987027,0.861987027
MEplum2,0.704800096,0.704800096
MEblue2,8.55E-08,8.55E-08
MEhoneydew1,0.70860542,0.70860542
MEmediumpurple1,0.596835066,0.596835066
MElightsteelblue,9.95E-60,9.95E-60
MEsienna3,1.11E-09,1.11E-09
MEdarkolivegreen,3.00E-29,3.00E-29
MElightskyblue3,2.29E-63,2.29E-63
MEdarkred,2.51E-211,2.51E-211
MEfirebrick4,9.39E-69,9.39E-69
MElavenderblush3,3.43E-12,3.43E-12
MEwheat3,6.22E-16,6.22E-16
MEdarkmagenta,0.585278187,0.585278187
MElightpink4,1.03E-06,1.03E-06
MEnavajowhite4,0.905543645,0.905543645
MEcoral4,0.745907083,0.745907083
MEdarkseagreen,0.145925845,0.145925845
MEcornsilk,0.159530193,0.159530193
MEantiquewhite2,0.19313048,0.19313048
MEindianred1,0.816478505,0.816478505
MEcornflowerblue,0.890186768,0.890186768
MEorangered4,0.994660424,0.994660424
MEdeeppink,0.941587058,0.941587058
MEmaroon,5.85E-10,5.85E-10
MEdarkorange2,1.21E-19,1.21E-19
MEcyan,0.55539755,0.55539755
MEblue1,0.02741482,0.02741482
MEplum4,0.419829841,0.419829841
MEgrey60,2.91E-09,2.91E-09
MEplum3,2.91E-13,2.91E-13
MEivory,0.004188982,0.004188982
MEsalmon,0.491870871,0.491870871
MEdarkslateblue,8.39E-14,8.39E-14
MElightblue3,1.83E-38,1.83E-38
MEantiquewhite4,1.88E-171,1.88E-171
MEorange,2.86E-53,2.86E-53
MEgreen4,0.901254619,0.901254619
MEdarkviolet,0.708244818,0.708244818
MEtan,0.703673974,0.703673974
MEbrown,0.084707602,0.084707602
MEmediumpurple,7.66E-22,7.66E-22
MEnavajowhite3,2.39E-13,2.39E-13
MEroyalblue,4.22E-06,4.22E-06
MEchocolate2,0.00052578,0.00052578
MEorangered1,0.14330259,0.14330259
MEorangered3,0.504817125,0.504817125
MEbrown3,0.380723884,0.380723884
MEantiquewhite1,0.824947104,0.824947104
MEpaleturquoise,0.643057253,0.643057253
MEgreen3,5.30E-15,5.30E-15
MEtan2,2.78E-26,2.78E-26
MElightblue4,0.374659073,0.374659073
MEroyalblue3,0.431458594,0.431458594
MEdarkolivegreen2,0.8214416,0.8214416
MEpink4,0.117800334,0.117800334
MEmagenta1,0.955676098,0.955676098
MEcoral3,0.967522466,0.967522466
MEfirebrick2,0.755642938,0.755642938
MEgreen2,0.960046692,0.960046692
MEpaleturquoise4,0.747144106,0.747144106
MEmistyrose,0.107008266,0.107008266
MEsalmon2,0.533416567,0.533416567
MElightcyan1,2.95E-14,2.95E-14
MEpink3,0.534250989,0.534250989
MElightsteelblue1,0.015904691,0.015904691
MEpalevioletred1,0.196603262,0.196603262
MEgrey,0.006105894,0.006105894
