SampleName,Genotype,Treatment,CID,batches
BMW_121,BMW_2218,control,H,1
BMW_296,BMW_2218,control,H,1
BMW_135,BMW_2218,control,H,1
BMW_271,BMW_2218,control,H,1
BMW_275,BMW_2218,stress,H,2
BMW_281,BMW_2218,stress,H,2
BMW_206,BMW_2218,stress,H,2
BMW_123,BMW_2218,stress,H,2
BMW_180,BMW_2218,stress,H,2
BMW_236,BMW_2496,control,H,3
BMW_253,BMW_2496,control,H,3
BMW_256,BMW_2496,control,H,3
BMW_280,BMW_2496,control,H,3
BMW_241,BMW_2496,stress,H,4
BMW_238,BMW_2496,stress,H,4
BMW_175,BMW_2496,stress,H,4
BMW_170,BMW_2496,stress,H,4
BMW_306,BMW_2496,stress,H,4
BMW_258,BMW_2364,control,H,5
BMW_268,BMW_2364,control,H,5
BMW_305,BMW_2364,control,H,5
BMW_208,BMW_2364,control,H,5
BMW_160,BMW_2364,stress,H,6
BMW_260,BMW_2364,stress,H,6
BMW_276,BMW_2364,stress,H,6
BMW_285,BMW_2007,control,H,7
BMW_221,BMW_2007,control,H,7
BMW_230,BMW_2007,control,H,7
BMW_310,BMW_2007,control,H,7
BMW_243,BMW_2007,stress,H,8
BMW_155,BMW_2007,stress,H,8
BMW_308,BMW_2007,stress,H,8
BMW_270,BMW_2007,stress,H,8
BMW_193,BMW_2007,stress,H,8
BMW_228,BMW_2267,control,H,9
BMW_290,BMW_2267,control,H,9
BMW_315,BMW_2267,control,H,9
BMW_215,BMW_2267,control,H,9
BMW_145,BMW_2267,stress,H,10
BMW_235,BMW_2267,stress,H,10
BMW_245,BMW_2267,stress,H,10
BMW_200,BMW_2267,stress,H,10
BMW_141,BMW_2095,control,L,11
BMW_248,BMW_2095,control,L,11
BMW_291,BMW_2095,control,L,11
BMW_190,BMW_2095,control,L,11
BMW_286,BMW_2095,stress,L,12
BMW_300,BMW_2095,stress,L,12
BMW_150,BMW_2095,stress,L,12
BMW_233,BMW_2095,stress,L,12
BMW_163,BMW_2297,control,L,13
BMW_263,BMW_2297,control,L,13
BMW_301,BMW_2297,control,L,13
BMW_213,BMW_2297,control,L,13
BMW_126,BMW_2297,stress,L,14
BMW_246,BMW_2297,stress,L,14
BMW_191,BMW_2297,stress,L,14
BMW_265,BMW_2297,stress,L,14
BMW_158,BMW_2156,control,L,15
BMW_176,BMW_2156,control,L,15
BMW_288,BMW_2156,control,L,15
BMW_181,BMW_2156,control,L,15
BMW_298,BMW_2156,control,L,15
BMW_133,BMW_2156,stress,L,16
BMW_205,BMW_2156,stress,L,16
BMW_125,BMW_2156,stress,L,16
BMW_240,BMW_2156,stress,L,16
BMW_278,BMW_2352,control,L,17
BMW_283,BMW_2352,control,L,17
BMW_203,BMW_2352,control,L,17
BMW_165,BMW_2352,control,L,17
BMW_138,BMW_2352,stress,L,18
BMW_273,BMW_2352,stress,L,18
BMW_188,BMW_2352,stress,L,18
BMW_255,BMW_2321,control,L,19
BMW_148,BMW_2321,control,L,19
BMW_173,BMW_2321,control,L,19
BMW_293,BMW_2321,control,L,19
BMW_143,BMW_2321,stress,L,20
BMW_196,BMW_2321,stress,L,20
BMW_218,BMW_2321,stress,L,20
BMW_295,BMW_2321,stress,L,20
